date,week,colors,new_pos,tot_case,tot_hosp,perc_pos,RT_sym,RT_hosp,var_hosp,new_dies,tot_dies,new_tests,tot_tests,vax,CI_low_sym,CI_up_sym,CI_low_hosp,CI_up_hosp,incid_100k_7ns
2020-02-24,9_2020,0,221,229,127,5.11,2.91,NA,127,7,7,4324,4324,NA,2.8,3.03,NA,NA,3
2020-02-25,9_2020,0,93,322,150,2.16,2.97,NA,23,3,10,4299,8623,NA,2.86,3.07,NA,NA,3
2020-02-26,9_2020,0,78,400,164,8.09,2.83,NA,14,2,12,964,9587,NA,2.74,2.92,NA,NA,3
2020-02-27,9_2020,0,250,650,304,10.3,2.57,NA,140,5,17,2427,12014,NA,2.49,2.65,NA,NA,3
2020-02-28,9_2020,0,238,888,409,6.47,2.57,NA,105,4,21,3681,15695,NA,2.5,2.65,NA,NA,3
2020-02-29,9_2020,0,240,1128,506,8.09,2.42,NA,97,8,29,2966,18661,NA,2.35,2.48,NA,NA,3
2020-03-01,9_2020,0,566,1694,779,22.95,2.7,NA,273,5,34,2466,21127,NA,2.64,2.77,NA,NA,3
2020-03-02,10_2020,0,342,2036,908,15.42,2.61,5.07,129,18,52,2218,23345,NA,2.55,2.66,4.9,5.25,10
2020-03-03,10_2020,0,466,2502,1263,18.56,2.49,4.63,355,27,79,2511,25856,NA,2.44,2.54,4.49,4.77,10
2020-03-04,10_2020,0,587,3089,1641,14.75,2.32,4.36,378,28,107,3981,29837,NA,2.28,2.37,4.24,4.47,10
2020-03-05,10_2020,0,769,3858,2141,30.46,2.26,4.11,500,41,148,2525,32362,NA,2.22,2.3,4.02,4.21,10
2020-03-06,10_2020,0,778,4636,2856,19.46,2.17,3.97,715,49,197,3997,36359,NA,2.14,2.21,3.89,4.05,10
2020-03-07,10_2020,0,1247,5883,3218,21.87,2.12,3.73,362,36,233,5703,42062,NA,2.09,2.16,3.66,3.79,10
2020-03-08,10_2020,0,1492,7375,4207,18.95,1.98,3.55,989,133,366,7875,49937,NA,1.95,2.01,3.5,3.61,10
2020-03-09,11_2020,84,1797,9172,5049,46.21,1.96,3.41,842,97,463,3889,53826,NA,1.93,1.99,3.36,3.45,29
