data,nr_ord,Territorio,color
2020-11-05,20A06144,abruzzo,2
2020-11-05,20A06144,basilicata,2
2020-11-05,20A06144,campania,2
2020-11-05,20A06144,emilia-romagna,2
2020-11-05,20A06144,friuli venezia giulia,2
2020-11-05,20A06144,p.a. bolzano,2
2020-11-05,20A06144,lazio,2
2020-11-05,20A06144,liguria,2
2020-11-05,20A06144,marche,2
2020-11-05,20A06144,molise,2
2020-11-05,20A06144,p.a. trento,2
2020-11-05,20A06144,p.a. bolzano,2
2020-11-05,20A06144,sardegna,2
2020-11-05,20A06144,toscana,2
2020-11-05,20A06144,umbria,2
2020-11-05,20A06144,veneto,2
2020-11-05,20A06144,puglia,3
2020-11-05,20A06144,sicilia,3
2020-11-05,20A06144,calabria,4
2020-11-05,20A06144,lombardia,4
2020-11-05,20A06144,piemonte,4
2020-11-05,20A06144,valle d'aosta,4
2020-11-10,20A06211,abruzzo,3
2020-11-10,20A06211,basilicata,3
2020-11-10,20A06211,liguria,3
2020-11-10,20A06211,toscana,3
2020-11-10,20A06211,umbria,3
2020-11-10,20A06211,p.a. bolzano,4
2020-11-14,20A06292,emilia-romagna,3
2020-11-14,20A06292,friuli venezia giulia,3
2020-11-14,20A06292,marche,3
2020-11-14,20A06292,campania,4
2020-11-14,20A06292,toscana,4
2020-11-20,20A06423,calabria,4
2020-11-20,20A06423,lombardia,4
2020-11-20,20A06423,piemonte,4
2020-11-20,20A06423,puglia,3
2020-11-20,20A06423,sicilia,3
2020-11-20,20A06423,valle d'aosta,4
2020-11-21,20A06467,abruzzo,4
2020-11-24,20A06541,basilicata,3
2020-11-24,20A06541,liguria,3
2020-11-24,20A06541,umbria,3
2020-11-24,20A06541,p.a. bolzano,4
2020-11-28,20A06656,calabria,3
2020-11-28,20A06656,lombardia,3
2020-11-28,20A06656,piemonte,3
2020-11-28,20A06656,liguria,2
2020-11-28,20A06656,sicilia,2
2020-11-28,20A06657,campania,4
2020-11-28,20A06657,emilia-romagna,3
2020-11-28,20A06657,friuli venezia giulia,3
2020-11-28,20A06657,marche,3
2020-11-28,20A06657,toscana,4
2020-12-05,20A06781,basilicata,4
2020-12-05,20A06781,calabria,4
2020-12-05,20A06781,lombardia,4
2020-12-05,20A06781,piemonte,4
2020-12-05,20A06781,abruzzo,4
2020-12-05,20A06782,campania,3
2020-12-05,20A06782,toscana,3
2020-12-05,20A06782,valle d'aosta,3
2020-12-05,20A06782,p.a. bolzano,3
2020-12-05,20A06783,emilia-romagna,2
2020-12-05,20A06783,friuli venezia giulia,2
2020-12-05,20A06783,marche,2
2020-12-05,20A06783,puglia,2
2020-12-05,20A06783,umbria,2
2020-12-12,20A06975,abruzzo,3
2020-12-12,20A06975,basilicata,2
2020-12-12,20A06975,calabria,2
2020-12-12,20A06975,lombardia,2
2020-12-12,20A06975,piemonte,2
2021-01-09,21A00119,lombardia,3
2021-01-09,21A00120,veneto,3
2021-01-09,21A00121,emilia-romagna,3
2021-01-09,21A00122,calabria,3
2021-01-09,21A00123,sicilia,3
2021-01-16,21A00223,abruzzo,3
2021-01-16,21A00223,friuli venezia giulia,3
2021-01-16,21A00223,lazio,3
2021-01-16,21A00223,liguria,3
2021-01-16,21A00223,marche,3
2021-01-16,21A00223,piemonte,3
2021-01-16,21A00223,puglia,3
2021-01-16,21A00223,umbria,3
2021-01-16,21A00223,valle d'aosta,3
2021-01-16,21A00224,p.a. bolzano,4
2021-01-16,21A00225,lombardia,4
2021-01-16,21A00226,sicilia,4
2021-01-23,21A00401,sardegna,3
2021-01-23,21A00402,calabria,3
2021-01-23,21A00402,emilia-romagna,3
2021-01-23,21A00402,veneto,3
2021-01-23,21A00403,lombardia,3
2021-01-31,21A00536,calabria,2
2021-01-31,21A00536,emilia-romagna,2
2021-01-31,21A00536,lombardia,2
2021-01-31,21A00536,veneto,2
2021-01-31,21A00537,puglia,3
2021-01-31,21A00537,umbria,3
2021-01-31,21A00537,sicilia,3
2021-01-31,21A00537,p.a. bolzano,3
2021-02-10,21A00830,puglia,2
2021-02-13,21A00960,umbria,3
2021-02-13,21A00960,p.a. bolzano,3
2021-02-13,21A00960,abruzzo,3
2021-02-13,21A00960,liguria,3
2021-02-13,21A00960,toscana,3
2021-02-13,21A00960,p.a. trento,3
2021-02-20,21A01169,campania,3
2021-02-20,21A01169,emilia-romagna,3
2021-02-20,21A01169,molise,3
2021-02-28,21A01260,abruzzo,3
2021-02-28,21A01260,toscana,3
2021-02-28,21A01260,umbria,3
2021-02-28,21A01260,p.a. trento,3
2021-02-28,21A01260,p.a. bolzano,3
2021-02-28,21A01261,basilicata,4
2021-02-28,21A01262,marche,3
2021-02-28,21A01262,lombardia,3
2021-02-28,21A01262,piemonte,3
2021-02-28,21A01263,molise,4
2021-02-28,21A01264,sardegna,1
2021-03-06,21A01466,emilia-romagna,3
2021-03-06,21A01466,friuli venezia giulia,3
2021-03-06,21A01466,veneto,3
2021-03-06,21A01467,campania,4
2021-03-13,21A01593,emilia-romagna,4
2021-03-13,21A01593,friuli venezia giulia,4
2021-03-13,21A01593,lazio,4
2021-03-13,21A01593,lombardia,4
2021-03-13,21A01593,piemonte,4
2021-03-13,21A01593,veneto,4
2021-03-13,21A01594,puglia,4
2021-03-13,21A01595,molise,4
2021-03-13,21A01596,marche,4
2021-03-13,21A01596,p.a. bolzano,3
2021-03-13,21A01596,p.a. trento,4
2021-03-20,21A01799,campania,4
2021-03-20,21A01800,sardegna,3
2021-03-20,21A01801,molise,3
2021-03-27,21A01967,emilia-romagna,4
2021-03-27,21A01967,friuli venezia giulia,4
2021-03-27,21A01967,lombardia,4
2021-03-27,21A01967,piemonte,4
2021-03-27,21A01967,veneto,4
2021-03-27,21A01967,puglia,4
2021-03-27,21A01967,marche,4
2021-03-27,21A01967,p.a. bolzano,3
2021-03-27,21A01967,p.a. trento,4
2021-03-27,21A01968,calabria,4
2021-03-27,21A01968,toscana,4
2021-03-27,21A01968,valle d'aosta,4
2021-04-03,21A02149,marche,3
2021-04-03,21A02149,veneto,3
2021-04-03,21A02149,p.a. bolzano,3
2021-04-03,21A02149,p.a. trento,3
2021-04-03,21A02150,calabria,4
2021-04-03,21A02150,campania,4
2021-04-03,21A02150,emilia-romagna,4
2021-04-03,21A02150,friuli venezia giulia,4
2021-04-03,21A02150,lombardia,4
2021-04-03,21A02150,piemonte,4
2021-04-03,21A02150,puglia,4
2021-04-03,21A02150,toscana,4
2021-04-03,21A02150,valle d'aosta,4
2021-04-10,21A02237,sardegna,4
2021-04-10,21A02238,calabria,3
2021-04-10,21A02238,emilia-romagna,3
2021-04-10,21A02238,friuli venezia giulia,3
2021-04-10,21A02238,lombardia,3
2021-04-10,21A02238,piemonte,3
2021-04-10,21A02238,toscana,3
2021-04-17,21A02377,campania,3
2021-04-17,21A02378,puglia,4
2021-04-17,21A02378,valle d'aosta,4
2021-04-24,21A02503,abruzzo,2
2021-04-24,21A02503,campania,2
2021-04-24,21A02503,emilia-romagna,2
2021-04-24,21A02503,friuli venezia giulia,2
2021-04-24,21A02503,lazio,2
2021-04-24,21A02503,liguria,2
2021-04-24,21A02503,lombardia,2
2021-04-24,21A02503,marche,2
2021-04-24,21A02503,molise,2
2021-04-24,21A02503,piemonte,2
2021-04-24,21A02503,toscana,2
2021-04-24,21A02503,umbria,2
2021-04-24,21A02503,veneto,2
2021-04-24,21A02503,p.a. trento,2
2021-04-24,21A02503,p.a. bolzano,2
2021-04-24,21A02504,basilicata,3
2021-04-24,21A02504,calabria,3
2021-04-24,21A02504,puglia,3
2021-04-24,21A02504,sicilia,3
2021-04-24,21A02504,valle d'aosta,3
2021-04-24,21A02505,sardegna,4
2021-04-30,21A02665,sardegna,3
2021-04-30,21A02666,valle d'aosta,4
2021-05-08,21A02830,sicilia,3
2021-05-08,21A02831,valle d'aosta,3
2021-05-08,21A02832,basilicata,2
2021-05-08,21A02832,calabria,2
2021-05-08,21A02832,puglia,2
2021-05-15,21A03052,sardegna,2
2021-05-15,21A03052,sicilia,2
2021-05-22,21A03226,valle d'aosta,2
2021-05-29,21A03392,friuli venezia giulia,1
2021-05-29,21A03392,molise,1
2021-05-29,21A03392,sardegna,1
2021-06-05,21A03453,abruzzo,1
2021-06-05,21A03453,liguria,1
2021-06-05,21A03453,umbria,1
2021-06-05,21A03453,veneto,1
2021-06-12,21A03664,emilia-romagna,1
2021-06-12,21A03664,lazio,1
2021-06-12,21A03664,lombardia,1
2021-06-12,21A03664,piemonte,1
2021-06-12,21A03664,puglia,1
2021-06-12,21A03664,p.a. bolzano,1
2021-06-12,21A03664,p.a. trento,1
2021-06-19,21A03772,basilicata,1
2021-06-19,21A03772,calabria,1
2021-06-19,21A03772,campania,1
2021-06-19,21A03772,marche,1
2021-06-19,21A03772,sicilia,1
2021-06-19,21A03772,toscana,1
2021-06-19,21A03772,p.a. bolzano,1
2021-06-26,21A03927,valle d'aosta,1
2021-08-28,21A05184,sicilia,2
2021-09-11,21A05415,sicilia,2
2021-09-25,21A05701,sicilia,2
2021-10-08,21A06004,sicilia,1
2021-11-27,21A07066,friuli venezia giulia,2
2021-12-04,21A07253,p.a. bolzano,2
2021-12-11,21A07328,calabria,2
2021-12-11,21A07328,friuli venezia giulia,2
2021-12-18,21A07540,liguria,2
2021-12-18,21A07540,marche,2
2021-12-18,21A07540,veneto,2
2021-12-18,21A07540,p.a. trento,2
2021-12-18,21A07540,p.a. bolzano,2
2021-12-24,21A07700,friuli venezia giulia,2
2021-12-24,21A07700,calabria,2
2021-12-31,21A07813,lazio,2
2021-12-31,21A07813,lombardia,2
2021-12-31,21A07813,piemonte,2
2021-12-31,21A07813,sicilia,2
2021-12-31,21A07813,liguria,2
